,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,time sec,VIP,t_test_table$adj.P.Val,FC_table$logFC,group,polarityXmz,"time, min",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.000122,1.500594216,2.34E-10,-2.498129747,14,p167.034896850586,21.13333537,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.599976,1.602681565,3.00E-10,-1.692112927,15,p167.022598266602,21.55999959,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.599976,1.349921426,4.52E-10,-2.821693878,15,p167.04719543457,21.55999959,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.600098,1.316980664,0.113007427,-1.116877153,15,p385.193695068359,21.56000163,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.800049,1.465166703,0.062828177,-0.31239279,16,n361.145599365234,22.08000081,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412.92157,1.350334168,6.15E-07,-2.332233312,17,n375.247802734375,23.54869283,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.599976,1.393673085,0.013368998,-1.769947058,17,n306.167388916016,23.55999959,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.200073,1.581463273,9.12E-08,-1.662308966,17,n376.265380859375,23.58666789,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.799927,1.532866854,5.21E-09,-2.347687839,17,n375.525177001953,23.61333211,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.974609,1.584889014,2.71E-09,-0.234602776,18,n484.326385498047,33.76624349,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2093.600098,1.330935504,4.70E-06,-2.584058058,19,p846.556864420573,34.89333496,,,,,,,,,,,,,,,,,,,,
