"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX410.219436645508...609.600036621094","pX410.219436645508...609.600036621094",1.68631537708376,4.94320834464231e-07,-2.43223713734063
"pX355.194396972656...954.400024414062","pX355.194396972656...954.400024414062",1.68611263334822,2.65526215040224e-12,-3.70606963647677
"pX223.073501586914...1043.19995117188","pX223.073501586914...1043.19995117188",1.68541632330863,1.31199655704527e-11,-7.01028080104737
"pX239.10319519043...1042.40002441406","pX239.10319519043...1042.40002441406",1.68409050186924,1.57683723842425e-11,-2.1191583798494
"pX507.284744262695...2029.59997558594","pX507.284744262695...2029.59997558594",1.68324556718805,1.14501981505102e-09,-3.00657650606086
"pX295.183807373047...1043.19995117188","pX295.183807373047...1043.19995117188",1.68270231299576,2.71041390841187e-11,-3.50810053380154
"pX355.230346679688...954.400024414062","pX355.230346679688...954.400024414062",1.68258986688152,3.41579905231123e-12,-1.23803182978538
"pX300.107086181641...953.600036621094","pX300.107086181641...953.600036621094",1.68145303391146,2.92310005387449e-12,-2.10633234609345
"pX239.073699951172...1042.40014648438","pX239.073699951172...1042.40014648438",1.6811995734991,1.33369189370024e-11,-2.94562965634542
"nX235.125900268555...1187.05163574219","nX235.125900268555...1187.05163574219",1.6810540027517,3.02914333270462e-12,-2.70641107015042
"pX356.148284912109...954.399963378906","pX356.148284912109...954.399963378906",1.68037643547577,3.02914333270462e-12,-1.88707411403019
"nX353.49560546875...653.041137695312","nX353.49560546875...653.041137695312",1.67946872875639,3.26603088345372e-11,-1.08598511459081
"pX355.716186523438...954.400024414062","pX355.716186523438...954.400024414062",1.67770589045724,3.33787000208787e-12,-2.67800445298579
"pX180.020202636719...954.399993896484","pX180.020202636719...954.399993896484",1.67770022978923,3.33787000208787e-12,-4.44462440122664
"pX364.226791381836...1043.19995117188","pX364.226791381836...1043.19995117188",1.67696132558583,2.28291662490985e-11,-3.15475717888067
"pX295.134582519531...1043.19995117188","pX295.134582519531...1043.19995117188",1.6767411837392,1.77889726180146e-11,-3.36572412017579
"pX355.068481445312...953.600036621094","pX355.068481445312...953.600036621094",1.67655045042545,3.51297265393393e-12,-1.2402933265431
