"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX462.387100219727...1043.20007324219","pX462.387100219727...1043.20007324219",1.74288602651808,2.08540681134393e-11,-1.58423318145367
"pX356.328491210938...954.400024414062","pX356.328491210938...954.400024414062",1.64604913748751,8.88382390344466e-12,-2.79650734888197
"pX355.266296386719...954.400024414062","pX355.266296386719...954.400024414062",1.60141818441453,4.13533690252901e-11,-1.51701871229134
"nX353.100891113281...652.800024414062","nX353.100891113281...652.800024414062",1.69972429730204,2.63325300511861e-12,-3.30710015340319
"pX355.374389648438...954.400024414062","pX355.374389648438...954.400024414062",1.61633006952336,2.55898256378468e-11,-1.67410163217542
"pX361.191284179688...970.399963378906","pX361.191284179688...970.399963378906",1.71454642810467,3.38640108882226e-12,-2.579031481369
"nX353.172576904297...653.488586425781","nX353.172576904297...653.488586425781",1.67545322070519,8.24091208730097e-12,-2.29580508715418
"pX356.310485839844...954.400024414062","pX356.310485839844...954.400024414062",1.64520489991291,8.99571805317739e-12,-2.8798293095473
"pX356.238403320312...954.400024414062","pX356.238403320312...954.400024414062",1.61397200167972,2.88783998817197e-11,-1.81400481291758
"pX257.079681396484...954.400024414062","pX257.079681396484...954.400024414062",1.64721330679184,1.46237219967926e-11,-2.16445742770199
"pX295.118194580078...1043.19995117188","pX295.118194580078...1043.19995117188",1.72209007671077,1.77889726180146e-11,-3.06713640609296
"pX411.205841064453...609.600036621094","pX411.205841064453...609.600036621094",1.77398208650531,1.07340280711717e-06,-2.81154455456568
"nX354.159881591797...653.4462890625","nX354.159881591797...653.4462890625",1.66326488752098,1.86358324725477e-11,-2.01591794580862
"pX296.152099609375...1043.19995117188","pX296.152099609375...1043.19995117188",1.71839823176801,1.62667610329323e-11,-2.36567375990065
"pX355.500183105469...655.200012207031","pX355.500183105469...655.200012207031",1.6587118155871,8.12774171865755e-12,-3.36878577726613
"nX353.154693603516...653.483581542969","nX353.154693603516...653.483581542969",1.6537035609687,2.26633934310815e-11,-2.17182635078327
"pX356.526702880859...954.400012207031","pX356.526702880859...954.400012207031",1.53366859486004,3.94353231893827e-10,-2.2659095963085
"pX355.986297607422...954.400024414062","pX355.986297607422...954.400024414062",1.61127777597881,2.80474368026006e-11,-1.52980485841124
"pX464.338790893555...1043.19995117188","pX464.338790893555...1043.19995117188",1.70815008806392,2.28291662490985e-11,-1.29463896211695
"pX239.073699951172...1042.40014648438","pX239.073699951172...1042.40014648438",1.6811995734991,1.33369189370024e-11,-2.94562965634542
"pX355.968200683594...954.400024414062","pX355.968200683594...954.400024414062",1.63312107010715,1.41029323792939e-11,-2.53165384801598
"pX239.10319519043...1042.40002441406","pX239.10319519043...1042.40002441406",1.68409050186924,1.57683723842425e-11,-2.1191583798494
"nX354.123992919922...653.483581542969","nX354.123992919922...653.483581542969",1.62745895038614,9.78057760526811e-11,-3.07757594205407
"pX224.086791992188...1293.59997558594","pX224.086791992188...1293.59997558594",1.61166691711689,3.38291417687771e-11,-3.05881773025036
"pX299.264404296875...954.399963378906","pX299.264404296875...954.399963378906",1.63259831836888,1.45164359276216e-11,-3.74295403154845
"nX333.106781005859...1072.79992675781","nX333.106781005859...1072.79992675781",1.66463366448679,2.28291662490985e-11,-1.93831576246168
"nX348.076995849609...1187.19659423828","nX348.076995849609...1187.19659423828",1.62754484457661,1.62982501394145e-11,-3.8698031717422
"pX364.226791381836...1043.19995117188","pX364.226791381836...1043.19995117188",1.67696132558583,2.28291662490985e-11,-3.15475717888067
"nX354.141876220703...653.483581542969","nX354.141876220703...653.483581542969",1.62543275849382,1.06828945651978e-10,-2.21185877504069
"pX295.183807373047...1043.19995117188","pX295.183807373047...1043.19995117188",1.68270231299576,2.71041390841187e-11,-3.50810053380154
"pX295.151000976562...1043.19995117188","pX295.151000976562...1043.19995117188",1.67146049346103,2.17240188621258e-11,-3.43920659623728
"nX353.118804931641...653.483581542969","nX353.118804931641...653.483581542969",1.62934073584757,8.31200373327214e-11,-3.85119411053567
"pX364.208541870117...1043.19995117188","pX364.208541870117...1043.19995117188",1.67031505086824,2.92534245486439e-11,-3.31938372471556
"nX346.904602050781...1186.47235107422","nX346.904602050781...1186.47235107422",1.63710091278945,1.77925292292998e-11,-3.64462571369529
"nX353.136779785156...653.456787109375","nX353.136779785156...653.456787109375",1.6218444663921,1.25398381806076e-10,-2.35648287679989
"nX223.049392700195...1186.40002441406","nX223.049392700195...1186.40002441406",1.63703233185525,2.54588386132092e-11,-2.16792706139531
"pX179.073791503906...953.600036621094","pX179.073791503906...953.600036621094",1.60010634768463,4.79361241577489e-11,-1.55110956412432
"pX239.11799621582...1043.19995117188","pX239.11799621582...1043.19995117188",1.69656799977411,4.49565362283426e-11,-1.92022632008728
"pX356.418579101562...953.600036621094","pX356.418579101562...953.600036621094",1.59866468531407,4.42019698055589e-11,-2.92528850128117
"pX361.209442138672...970.399981689453","pX361.209442138672...970.399981689453",1.66356132293952,2.02221521207835e-11,-1.99036387441037
"pX239.088500976562...1042.40002441406","pX239.088500976562...1042.40002441406",1.65637853078973,2.54588386132092e-11,-2.70555786420158
"pX385.231140136719...1043.99987792969","pX385.231140136719...1043.99987792969",1.66614298311366,6.95512269141176e-11,-3.84482363917216
"nX207.080795288086...1186.39990234375","nX207.080795288086...1186.39990234375",1.62830681646644,8.25658005044315e-11,-3.60075725467252
"pX363.207489013672...1043.19995117188","pX363.207489013672...1043.19995117188",1.66043728893461,3.68801367991749e-11,-2.72337898217894
"pX397.199081420898...1324.00012207031","pX397.199081420898...1324.00012207031",1.60804654198912,5.37401221707724e-10,-1.72281690805044
"pX363.225631713867...1043.19995117188","pX363.225631713867...1043.19995117188",1.65808867330356,3.98338719287597e-11,-2.41594553578897
"nX379.196380615234...1095.20003662109","nX379.196380615234...1095.20003662109",1.58819620579088,6.56208501012841e-11,-2.77728253365795
"nX278.083190917969...1186.40002441406","nX278.083190917969...1186.40002441406",1.62069966536054,1.01226104033973e-10,-2.76586698016196
"nX207.067092895508...1186.40002441406","nX207.067092895508...1186.40002441406",1.62101278714382,1.11892600136735e-10,-2.79254163449066
"pX355.230346679688...655.200012207031","pX355.230346679688...655.200012207031",1.60790457691888,3.35989429785087e-11,-3.43289883313032
"nX347.082794189453...1186.40002441406","nX347.082794189453...1186.40002441406",1.6173396444493,1.10299410761832e-10,-2.01632697485773
"nX376.265380859375...1415.20007324219","nX376.265380859375...1415.20007324219",1.58146327304443,1.4124469952999e-10,-2.7619361754287
"nX347.065093994141...1186.40002441406","nX347.065093994141...1186.40002441406",1.61309768214736,1.78981584068149e-10,-3.83224710079837
"nX347.117889404297...1187.18719482422","nX347.117889404297...1187.18719482422",1.61787047423578,1.00453501748805e-10,-3.22791560639194
"pX223.059295654297...1187.20007324219","pX223.059295654297...1187.20007324219",1.61307899431777,8.3994991750374e-11,-3.33795663257732
"pX295.167388916016...1043.19995117188","pX295.167388916016...1043.19995117188",1.64561020975091,4.2157482013916e-11,-2.61218411507458
"pX463.290390014648...1042.40014648438","pX463.290390014648...1042.40014648438",1.64320134047095,2.21104289056932e-10,-2.11042163402883
