"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"nX199.096588134766...237.600006103516","nX199.096588134766...237.600006103516",0.736412411539106,0.0457601920733565,0.791442421712686
"nX205.05339050293...1398.39990234375","nX205.05339050293...1398.39990234375",0.421805330977421,0.222048592320291,-0.352906193008372
"nX205.844787597656...2969.95654296875","nX205.844787597656...2969.95654296875",0.344868115924384,0.29801846327474,0.528081137258594
"nX207.053100585938...1186.40002441406","nX207.053100585938...1186.40002441406",0.625018291268751,0.150716880703987,-1.20258561172546
"nX207.067092895508...1186.40002441406","nX207.067092895508...1186.40002441406",1.62101278714382,1.11892600136735e-10,-2.79254163449066
"nX207.080795288086...1186.39990234375","nX207.080795288086...1186.39990234375",1.62830681646644,8.25658005044315e-11,-3.60075725467252
"nX207.094497680664...1187.15393066406","nX207.094497680664...1187.15393066406",0.886945630299923,0.00379118845043447,0.921499169876262
"nX207.836898803711...2970.04724121094","nX207.836898803711...2970.04724121094",0.130279675104889,0.754581284886419,-0.568329938234432
"nX208.057441711426...1186.52362060547","nX208.057441711426...1186.52362060547",1.62242243226721,2.28291662490985e-11,-4.06583155206697
"nX208.071701049805...1186.40002441406","nX208.071701049805...1186.40002441406",0.772196348465168,0.00643299458230671,-0.316126275855357
"nX209.077194213867...1267.71374511719","nX209.077194213867...1267.71374511719",1.17520162725458,7.97385463521282e-06,-1.14625342730417
"nX209.077194213867...655.608215332031","nX209.077194213867...655.608215332031",0.701366435649261,0.0205114919847672,-0.512506729107215
"nX209.077194213867...861.347473144531","nX209.077194213867...861.347473144531",0.94881658454015,0.000495113501112541,-0.663213943223393
"nX209.09098815918...1267.84887695312","nX209.09098815918...1267.84887695312",1.36766127631118,1.83235689682995e-07,-0.888806670884744
"nX209.09098815918...655.382995605469","nX209.09098815918...655.382995605469",0.722232392819299,0.0121055187531675,-0.428245898481351
"nX209.09098815918...861.339416503906","nX209.09098815918...861.339416503906",0.904023152707049,0.00110911151338487,-4.26155359780437
"nX210.057800292969...1187.11468505859","nX210.057800292969...1187.11468505859",1.16005147744902,4.87083811462172e-05,-0.932162482352922
